,id,executedOn,croppableAreaId,croppableAreaName,IsSoilmoi4,PlantHeig3,WaterHeig0,FieldPhot1hldr,FieldPhot2hldr,Soilmoist5hldr,Date,executedOn_time,Photo1_link,Photo2_link
26,53151,2023-08-09T03:25:33.957Z,19151,Field 80,Yes,26.0,15.0,compress1691551563670.jpg,compress1691551574431.jpg,"[{'size': 3282873, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '96efee00-3664-11ee-8e21-37d49d49443e', 'originalFileName': 'compress1691551607635.jpg'}]",2023-08-09,03:25:33.957000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691551563670.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691551574431.jpg
29,53903,2023-08-09T05:53:14.324Z,19172,Field 101,Yes,39.0,10.0,1691560408471.jpg,1691560435304.jpg,"[{'size': 2401605, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '2ebdafb0-3679-11ee-b17d-279cf03007ab', 'originalFileName': '1691560457869.jpg'}]",2023-08-09,05:53:14.324000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/1691560408471.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/1691560435304.jpg
25,53051,2023-08-09T03:21:03.283Z,19165,Field 94,Yes,23.0,11.0,compress1691551277135.jpg,compress1691551286589.jpg,"[{'size': 3051215, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'fc4cd520-3663-11ee-b108-69458602e264', 'originalFileName': 'compress1691551354173.jpg'}]",2023-08-09,03:21:03.283000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691551277135.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691551286589.jpg
34,58351,2023-08-10T05:08:14.383Z,19156,Field 85,Yes,24.0,10.0,compress1691644103613.jpg,compress1691644117717.jpg,"[{'size': 2987241, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '03de4d90-373c-11ee-9dc2-0f416472d22d', 'originalFileName': 'compress1691644132056.jpg'}, {'size': 3261226, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '03e10cb0-373c-11ee-a5fb-b38c569e16d6', 'originalFileName': 'compress1691644136897.jpg'}]",2023-08-10,05:08:14.383000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691644103613.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691644117717.jpg
1534,226101,2023-08-14T12:00:00Z,19462,Field 141,,39.0,1.0,,,,2023-08-14,12:00:00,,
1530,225051,2023-08-14T12:00:00Z,19461,Field 140,,38.0,2.0,,,,2023-08-14,12:00:00,,
222,91454,2023-08-14T12:00:00Z,19758,Field 8,Yes,31.0,3.0,compress1692850359367.jpg,compress1692850369482.jpg,"[{'size': 3402326, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '9b2cc840-4234-11ee-b5f0-3bf5f1f6ba6c', 'originalFileName': 'compress1692850418087.jpg'}]",2023-08-14,12:00:00,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1692850359367.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1692850369482.jpg
238,91655,2023-08-14T12:00:00Z,19762,Field 12,Yes,20.0,3.0,compress1692853021630.jpg,compress1692853029701.jpg,"[{'size': 3283755, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'c3b6af50-423a-11ee-a637-55a18f40d8e4', 'originalFileName': 'compress1692853062349.jpg'}]",2023-08-14,12:00:00,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1692853021630.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1692853029701.jpg
1780,240356,2023-08-14T12:00:00Z,19481,Field 160,,40.0,0.0,,,,2023-08-14,12:00:00,,
81,62952,2023-08-14T06:13:06.699Z,19165,Field 94,Yes,25.0,11.0,compress1691993595099.jpg,compress1691993607660.jpg,"[{'size': 3174901, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'ba40f3a0-3a69-11ee-8f14-7f272b979223', 'originalFileName': 'compress1691993625021.jpg'}]",2023-08-14,06:13:06.699000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691993595099.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691993607660.jpg
